minus_t,minus_t_low,minus_t_high,dsigma,error_plus,error_minus
0.03,0.02,0.04,51.92,9.1,-9.1
0.05,0.04,0.06,39.62,5.5,-5.5
0.07,0.06,0.08,32.28,4.0,-4.0
0.09,0.08,0.1,25.86,3.0,-3.0
0.11,0.1,0.12,18.6,2.1,-2.1
0.13,0.12,0.14,13.93,1.5,-1.5
0.15000000000000002,0.14,0.16,11.51,1.2,-1.2
0.16999999999999998,0.16,0.18,9.079,0.9,-0.9
0.19,0.18,0.2,8.101,0.78,-0.78
0.21000000000000002,0.2,0.22,6.066,0.64,-0.64
0.22999999999999998,0.22,0.24,4.817,0.49,-0.49
0.25,0.24,0.26,4.272,0.41,-0.41
0.27,0.26,0.28,3.477,0.33,-0.33
0.29000000000000004,0.28,0.3,2.708,0.25,-0.25
0.31,0.3,0.32,2.121,0.19,-0.19
0.33,0.32,0.34,1.766,0.16,-0.16
0.35,0.34,0.36,1.286,0.11,-0.11
0.37,0.36,0.38,1.214,0.11,-0.11
0.39,0.38,0.4,0.9842,0.089,-0.089
0.41000000000000003,0.4,0.42,0.7037,0.06,-0.06
0.43,0.42,0.44,0.6151,0.053,-0.053
0.45,0.44,0.46,0.4416,0.039,-0.039
0.47,0.46,0.48,0.3906,0.036,-0.036
0.49,0.48,0.5,0.3812,0.032,-0.032
0.525,0.5,0.55,0.2492,0.016,-0.016
0.575,0.55,0.6,0.1473,0.0095,-0.0095
0.625,0.6,0.65,0.09168,0.0062,-0.0062
0.675,0.65,0.7,0.06374,0.0045,-0.0045
0.725,0.7,0.75,0.04297,0.0032,-0.0032
0.775,0.75,0.8,0.02395,0.0018,-0.0018
0.825,0.8,0.85,0.01608,0.00086,-0.00086
0.875,0.85,0.9,0.01021,0.00059,-0.00059
0.925,0.9,0.95,0.006614,0.00036,-0.00036
0.975,0.95,1.0,0.003865,0.00022,-0.00022
1.025,1.0,1.05,0.002515,0.00016,-0.00016
1.0750000000000002,1.05,1.1,0.001504,0.0001,-0.0001
1.125,1.1,1.15,0.000888,7.1e-05,-7.1e-05
1.1749999999999998,1.15,1.2,0.0004664,4.6e-05,-4.6e-05
1.225,1.2,1.25,0.0002356,3e-05,-3e-05
1.275,1.25,1.3,0.0001075,2e-05,-2e-05
1.3250000000000002,1.3,1.35,5.429e-05,1.4e-05,-1.4e-05
1.375,1.35,1.4,3.037e-05,1e-05,-1e-05
1.45,1.4,1.5,8.165e-06,3.7e-06,-3.7e-06
1.55,1.5,1.6,2.067e-05,5.8e-06,-5.8e-06
1.65,1.6,1.7,2.635e-05,6.5e-06,-6.5e-06
1.75,1.7,1.8,4.384e-05,8.4e-06,-8.4e-06
1.85,1.8,1.9,5.492e-05,9.8e-06,-9.8e-06
1.95,1.9,2.0,4.582e-05,9.2e-06,-9.2e-06
2.05,2.0,2.1,3.373e-05,7.9e-06,-7.9e-06
2.1500000000000004,2.1,2.2,3.66e-05,8.2e-06,-8.2e-06
2.25,2.2,2.3,2.973e-05,7.4e-06,-7.4e-06
2.3499999999999996,2.3,2.4,2.81e-05,7.2e-06,-7.2e-06
2.5,2.4,2.6,2.279e-05,4.6e-06,-4.6e-06
2.7,2.6,2.8,1.425e-05,3.5e-06,-3.5e-06
2.9,2.8,3.0,6.718e-06,2.4e-06,-2.4e-06
3.1,3.0,3.2,1.098e-05,3.3e-06,-3.3e-06
3.3,3.2,3.4,2.853e-06,1.7e-06,-1.7e-06
3.5,3.4,3.6,2.727e-06,1.6e-06,-1.6e-06

