minus_t,dsigma,error_plus,error_minus,syst_plus,syst_minus
0.13,17.31,0.71,-0.71,'10.0%','-10.0%'
0.15,13.09,0.39,-0.39,'10.0%','-10.0%'
0.17,10.96,0.29,-0.29,'10.0%','-10.0%'
0.19,8.77,0.22,-0.22,'10.0%','-10.0%'
0.21,6.86,0.19,-0.19,'10.0%','-10.0%'
0.23,5.55,0.15,-0.15,'10.0%','-10.0%'
0.25,4.52,0.13,-0.13,'10.0%','-10.0%'
0.27,3.61,0.13,-0.13,'10.0%','-10.0%'
0.29,3.04,0.11,-0.11,'10.0%','-10.0%'
0.31,2.35,0.09,-0.09,'10.0%','-10.0%'
0.33,2.0,0.08,-0.08,'10.0%','-10.0%'
0.35,1.61,0.07,-0.07,'10.0%','-10.0%'
0.37,1.284,0.064,-0.064,'10.0%','-10.0%'
0.39,0.984,0.053,-0.053,'10.0%','-10.0%'
0.42,0.759,0.044,-0.044,'10.0%','-10.0%'
0.46,0.504,0.035,-0.035,'10.0%','-10.0%'
0.5,0.275,0.023,-0.023,'10.0%','-10.0%'
0.54,0.213,0.017,-0.017,'10.0%','-10.0%'
0.58,0.141,0.013,-0.013,'10.0%','-10.0%'
0.62,0.095,0.009,-0.009,'10.0%','-10.0%'
0.68,0.046,0.005,-0.005,'10.0%','-10.0%'
0.76,0.014,0.004,-0.004,'10.0%','-10.0%'
0.85,0.007,0.002,-0.002,'10.0%','-10.0%'
